vol.	page	parva	adhy.	from v.	to v.	ipage	
5	12	10	1	1	21	1a	
5	13	10	1	22	44	1b	
5	14	10	1	45	68	2a	
5	15	10	1	69	69	2b	
5	15	10	2	1	16	2b	
5	16	10	2	17	35	3a	
5	16	10	3	1	1	3a	
5	17	10	3	2	23	3b	
5	18	10	3	24	36	4a	
5	18	10	4	1	9	4a	
5	19	10	4	10	32	4b	
5	20	10	4	33	34	5a	
5	20	10	5	1	20	5a	
5	21	10	5	21	40	5b	
5	21	10	6	1	2	5b	
5	22	10	6	3	25	6a	
5	23	10	6	26	34	6b	
5	23	10	7	1	15	6b	
5	24	10	7	16	39	7a	
5	25	10	7	40	61	7b	
5	26	10	7	62	68	8a	
5	26	10	8	1	16	8a	
5	27	10	8	17	40	8b	
5	28	10	8	41	62	9a	
5	29	10	8	63	86	9b	
5	30	10	8	87	110	10a	
5	31	10	8	111	135	10b	
5	32	10	8	136	158	11a	
5	33	10	8	159	159	11b	
5	33	10	9	1	21	11b	
5	34	10	9	22	45	12a	
5	35	10	9	46	63	12b	
5	36	10	10	1	20	13a	
5	37	10	10	21	31	13b	
5	37	10	11	1	8	13b	
5	38	10	11	9	30	14a	
5	39	10	11	31	31	14b	
5	39	10	12	1	22	14b	
5	40	10	12	23	41	15a	
5	40	10	13	1	5	15a	
5	41	10	13	6	22	15b	
5	41	10	14	1	5	15b	
5	42	10	14	6	16	16a	
5	42	10	15	1	12	16a	
5	43	10	15	13	35	16b	
5	44	10	16	1	23	17a	
5	45	10	16	24	36	17b	
5	45	10	17	1	8	17b	
5	46	10	17	9	25	18a	
5	47	10	17	26	26	18b	
5	47	10	18	1	13	18b	
5	48	10	18	14	26	19a	
5	49	10	---	---	---	19b	
5	50	---	---	---	---	---	
5	51	---	---	---	---	---	
5	52	---	---	---	---	---	
5	53	---	---	---	---	---	
5	54	---	---	---	---	---	
5	55	---	---	---	---	---	
5	56	11	1	1	20	1a	
5	57	11	1	21	43	1b	
5	58	11	1	44	44	2a	
5	58	11	2	1	18	2a	
5	59	11	2	19	37	2b	
5	59	11	3	1	1	2b	
5	60	11	3	2	20	3a	
5	61	11	4	1	17	3b	
5	62	11	4	18	20	4a	
5	62	11	5	1	14	4a	
5	63	11	5	15	24	4b	
5	63	11	6	1	10	4b	
5	64	11	6	11	14	5a	
5	64	11	7	1	15	5a	
5	65	11	7	16	29	5b	
5	65	11	8	1	7	5b	
5	66	11	8	8	32	6a	
5	67	11	8	33	53	6b	
5	67	11	9	1	3	6b	
5	68	11	9	4	23	7a	
5	68	11	10	1	2	7a	
5	69	11	10	3	20	7b	
5	69	11	11	1	5	7b	
5	70	11	11	6	24	8a	
5	70	11	12	1	4	8a	
5	71	11	12	5	28	8b	
5	72	11	12	29	30	9a	
5	72	11	13	1	17	9a	
5	72	11	14	1	1	9a	
5	73	11	14	2	21	9b	
5	73	11	15	1	2	9b	
5	74	11	15	3	25	10a	
5	75	11	15	26	44	10b	
5	75	11	16	1	2	10b	
5	76	11	16	3	26	11a	
5	77	11	16	27	51	11b	
5	78	11	16	52	61	12a	
5	78	11	17	1	12	12a	
5	79	11	17	13	32	12b	
5	79	11	18	1	3	12b	
5	80	11	18	4	27	13a	
5	81	11	18	28	28	13b	
5	81	11	19	1	21	13b	
5	82	11	20	1	26	14a	
5	83	11	20	27	35	14b	
5	83	11	21	1	13	14b	
5	84	11	21	14	14	15a	
5	84	11	22	1	18	15a	
5	84	11	23	1	3	15a	
5	85	11	23	4	25	15b	
5	86	11	23	26	42	16a	
5	86	11	24	1	6	16a	
5	87	11	24	7	30	16b	
5	88	11	25	1	25	17a	
5	89	11	25	26	49	17b	
5	90	11	25	50	50	18a	
5	90	11	26	1	50	18a	
5	91	11	26	20	43	18b	
5	92	11	26	44	44	19a	
5	92	11	27	1	22	19a	
5	93	11	27	23	30	19b	
5	94	---	---	---	---	---	
5	95	---	---	---	---	---	
5	96	---	---	---	---	---	
5	97	---	---	---	---	---	
5	98	---	---	---	---	---	
5	99	---	---	---	---	---	
5	100	12	1	1	9	1a	
5	101	12	1	10	26	1b	
5	102	12	1	27	44	2a	
5	102	12	2	1	1	2a	
5	103	12	2	2	22	2b	
5	104	12	2	23	29	3a	
5	104	12	3	1	13	3a	
5	105	12	3	14	33	3b	
5	106	12	4	1	21	4a	
5	106	12	5	1	2	4a	
5	107	12	5	3	15	4b	
5	107	12	6	1	7	4b	
5	108	12	6	8	13	5a	
5	108	12	7	1	10	5a	
5	109	12	7	11	24	5b	
5	110	12	7	25	40	6a	
5	111	12	7	41	44	6b	
5	111	12	8	1	7	6b	
5	112	12	8	8	26	7a	
5	113	12	8	27	37	7b	
5	113	12	9	1	4	7b	
5	114	12	9	5	21	8a	
5	115	12	9	22	36	8b	
5	116	12	9	37	37	9a	
5	116	12	10	1	16	9a	
5	117	12	10	17	26	9b	
5	118	12	10	27	28	10a	
5	118	12	11	1	12	10a	
5	119	12	11	13	18	10b	
5	120	12	11	19	28	11a	
5	120	12	12	1	3	11a	
5	121	12	12	4	17	11b	
5	122	12	12	18	36	12a	
5	123	12	12	37	38	12b	
5	123	12	13	1	10	12b	
5	124	12	13	11	13	13a	
5	124	12	14	1	16	13a	
5	125	12	14	17	39	13b	
5	126	12	15	1	20	14a	
5	127	12	15	21	40	14b	
5	128	12	15	41	58	15a	
5	128	12	16	1	1	15a	
5	129	12	16	2	20	15b	
5	130	12	16	21	29	16a	
5	130	12	17	1	5	16a	
5	131	12	17	6	21	16b	
5	132	12	17	22	24	17a	
5	132	12	18	1	13	17a	
5	133	12	18	14	29	17b	
5	134	12	18	30	40	18a	
5	134	12	19	1	6	18a	
5	135	12	19	7	21	18b	
5	136	12	19	22	26	19a	
5	136	12	20	1	9	19a	
5	137	12	20	10	14	19b	
5	137	12	21	1	7	19b	
5	138	12	21	8	20	20a	
5	138	12	22	1	7	20a	
5	139	12	22	8	15	20b	
5	139	12	23	1	13	20b	
5	140	12	23	14	34	21a	
5	141	12	23	35	47	21b	
5	141	12	24	1	8	21b	
