=======================================================
cvc  headwords (consonant-vowel-consonant
format: bbline\tmetaline
358: YES these are root entries; add √ markup before ¦
     251 of these in the pwkvn section
155: NO  these are not root entries (at end of this file)
=======================================================
YES *{#kap#}¦ <ab>v. l.</ab> für {#krap#}.	<L>24149<pc>2-014-a<k1>kap<k2>*kap
YES <hom>1.</hom> {#kuw#}¦ mit {#ava#} ({#°kuwya#}) {%zertheilen, zerkleinern%}.	<L>28272<pc>2-070-c<k1>kuw<k2>1. kuw
YES *{#kut#}¦ (<is>Sautra</is>-Wurzel) {%ausbreiten%}.	<L>28501<pc>2-073-c<k1>kut<k2>*kut
YES <hom>1.</hom> {#kur#}¦ <ab>s.</ab> <hom>1.</hom> {#kar#}.	<L>28970<pc>2-079-c<k1>kur<k2>1. kur
YES <hom>1.</hom> *{#kuh#}¦ <ab>s.</ab> {#kuhay#}.	<L>29622<pc>2-087-a<k1>kuh<k2>1. *kuh
YES {#kfY#}¦ <ab>Bez.</ab> {%der Wurzel%} <hom>1.</hom> {#kar#}, {#karoti, kurute#} <ls n="Chr.">235,25</ls>.	<L>29905<pc>2-090-b<k1>kfY<k2>kfY
YES {#kxb#}¦ <ab>s.</ab> {#klib#}.	<L>30582<pc>2-098-a<k1>kxb<k2>kxb
YES {#Kac#}¦	<L>33207<pc>2-133-c<k1>Kac<k2>Kac
YES {#Kid#}¦	<L>33814<pc>2-140-c<k1>Kid<k2>Kid
YES {#Kun#}¦, <ab>Intens.</ab> <ab>Partic.</ab> {#ka/nIKunat#} = {#canIKudat#} (<ab>s. u.</ab> {#Kud#}).	<L>33846<pc>2-141-b<k1>Kun<k2>Kun
YES *{#guj#}¦ <ab>s.</ab> {#guYj#}.	<L>35615<pc>2-168-b<k1>guj<k2>*guj
YES <hom>1.</hom> {#gup#}¦ (ohne Präsensstamm; {#gopant#} = {#gopayant#} <ls>GĪT. 6,12</ls> verdächtig), {#jugopa#} <ab>u. s. w.</ab>	<L>35860<pc>2-171-b<k1>gup<k2>1. gup
YES {#gUh#}¦ <ab>s.</ab> <hom>1.</hom> {#guh#}.	<L>36143<pc>2-175-b<k1>gUh<k2>gUh
YES {#can#}¦ nur im <ab>Aor.</ab> {#canizwa/m#} und {#ca/nizWat#} (!) Jenes in der <ab>Bed.</ab> {%Gefallen finden —, sich erfreuen an%} (<ab>Loc.</ab>); dieses mit <ab>Caus.</ab> <ab>Bed.</ab> {%erfreuen%}.	<L>38875<pc>2-211-c<k1>can<k2>can
YES <hom>1.</hom> {#Cad#}¦ *{#Cadati#}. Vom einfachen Stamme nur {#Canna#}	<L>40881<pc>2-241-a<k1>Cad<k2>1. Cad
YES <hom>3.</hom> {#Cad#}¦ (nur {#cacCadyAt#} und {#Cada/yati, °te#}) und {#Cand#} (zweimal {#Candati#}, sonst nur <ab>Aor.</ab> und {#Candayati, °te#})	<L>40883<pc>2-241-b<k1>Cad<k2>3. Cad
YES {#jan#}¦	<L>41470<pc>2-249-c<k1>jan<k2>jan
YES <hom>1.</hom> {#jar#}¦	<L>41878<pc>2-256-a<k1>jar<k2>1. jar
YES {#jas#}¦	<L>42331<pc>2-261-a<k1>jas<k2>jas
YES <hom>1.</hom> {#jur#}¦	<L>43152<pc>2-272-b<k1>jur<k2>1. jur
YES <hom>1.</hom> {#jUr#}¦ <ab>s.</ab> <hom>1.</hom> {#jur#}.	<L>43186<pc>2-273-a<k1>jUr<k2>1. jUr
YES {#tak#}¦	<L>44034<pc>3-001-b<k1>tak<k2>tak
YES <hom>1.</hom> {#taq#}¦ vom Simplex nur ({#vi#}) {#tAQi#} oder {#tA|i#} und {#tatAqa#} (<ls>BHĀG. P.</ls>). {%schlagen%}.	<L>44108<pc>3-002-b<k1>taq<k2>1. taq
YES <hom>1.</hom> {#tap#}¦	<L>44564<pc>3-010-a<k1>tap<k2>1. tap
YES {#tAv#}¦ mit {#vi#} in {#vita/vati#} <ls>AV.</ls> vielleicht fehlerhaft für {#°DAvati#}.	<L>45602<pc>3-026-b<k1>tAv<k2>tAv
YES <hom>1.</hom> {#tuj#}¦	<L>46207<pc>3-034-a<k1>tuj<k2>1. tuj
YES <hom>1.</hom> {#tur#}¦	<L>46307<pc>3-035-c<k1>tur<k2>1. tur
YES <hom>1.</hom> {#daG#}¦	<L>48548<pc>3-063-c<k1>daG<k2>1. daG
YES <hom>2.</hom> {#daG#}¦ in {#uSa°#} und {#dakziRa°#}.	<L>48549<pc>3-063-c<k1>daG<k2>2. daG
YES <hom>1.</hom> {#dad#}¦ <ab>s.</ab> <hom>1.</hom> {#dA#}.	<L>48733<pc>3-066-b<k1>dad<k2>1. dad
YES <hom>1.</hom> {#dah#}¦	<L>49485<pc>3-077-a<k1>dah<k2>1. dah
YES <hom>1.</hom> {#dAS#}¦	<L>49917<pc>3-084-b<k1>dAS<k2>1. dAS
YES <hom>1.</hom> {#dAs#}¦	<L>49962<pc>3-085-a<k1>dAs<k2>1. dAs
YES <hom>2.</hom> {#duz#}¦ (= <hom>1.</hom> {#duz#}) {#duzyati#} (episch auch <ab>Med.</ab>) erst im <ls>AIT. BR.</ls>	<L>51552<pc>3-106-b<k1>duz<k2>2. duz
YES <hom>1.</hom> *{#Diz#}¦ = <hom>1.</hom> {#DA#}, {#diDezwi#} ({#Sabde#}).	<L>55397<pc>3-160-c<k1>Diz<k2>1. *Diz
YES {#Dun#}¦ (aus {#Dunoti#} entstanden), nur in der Form {#nirDunet#} {%er schüttele aus%} (das Gewand) <ls>MBH. 13,104,52</ls>.	<L>55478<pc>3-162-a<k1>Dun<k2>Dun
YES {#naB#}¦	<L>56635<pc>3-178-c<k1>naB<k2>naB
YES <hom>1.</hom> {#pac#}¦	<L>61760<pc>4-004-a<k1>pac<k2>1. pac
YES {#paj#}¦ mit {#apa#} {%zurückweichen%}. Nur {#a/pa—pA/paje#}.	<L>61787<pc>4-004-c<k1>paj<k2>paj
YES <hom>1.</hom> {#par#}¦	<L>63141<pc>4-027-c<k1>par<k2>1. par
YES <hom>1.</hom> {#paS#}¦ nur Präsensstamm {#pa/Sya#} <ab>Act.</ab> <ab>Med.</ab> (meist metrisch).	<L>65135<pc>4-057-a<k1>paS<k2>1. paS
YES <hom>4.</hom> *{#paS#}¦ <ab>Intens.</ab> {#pampaSyate, pampaSIti#}.	<L>65138<pc>4-057-c<k1>paS<k2>4. *paS
YES {#pis#}¦	<L>67256<pc>4-087-b<k1>pis<k2>pis
YES {#pIq#}¦ (<ab>Vgl.</ab> {#piz#}) {%pressen,%} Nur <ab>perf.</ab> {#pipIqe#} <ab>Caus.</ab> — {#pIqa/yati#} episch auch <ab>Med.</ab>	<L>67280<pc>4-088-a<k1>pIq<k2>pIq
YES {#pIz#}¦ = {#piz#} <ls>AV. 4,6,7</ls>.	<L>67461<pc>4-090-c<k1>pIz<k2>pIz
YES {#pUj#}¦ vom Simplex nur einmal {#pupUjire#} (<ls>MBH. 6,85,40</ls>. {#apUjaM yaTA#} <ls>MBH. 3,1005</ls>. Fehlerhaft für {#apUjayaTA[H]#}; <ab>vgl.</ab> <ls n="MBH.">3,27,17</ls>) sonst nur <ab>Caus.</ab> {#pUjayati#} (metrisch auch <ab>Med.</ab>).	<L>68762<pc>4-108-b<k1>pUj<k2>pUj
YES {#Par#}¦, <ab>Intens.</ab> {#ParParat#} <ls>ṚV.</ls>	<L>75284<pc>4-200-c<k1>Par<k2>Par
YES {#baD#}¦ = {#vaD#} bisweilen auch in vedischen Texten.	<L>75738<pc>4-206-b<k1>baD<k2>baD
YES <hom>1.</hom> {#bal#}¦, nur <ab>Intens.</ab> {#balbalIti#} {%wirbeln%}.	<L>75939<pc>4-211-a<k1>bal<k2>1. bal
YES <hom>2.</hom> *{#bal#}¦	<L>75940<pc>4-211-a<k1>bal<k2>2. *bal
YES {#bah#}¦ <ab>s.</ab> {#baMh#}.	<L>76161<pc>4-213-c<k1>bah<k2>bah
YES <hom>1.</hom> {#Bas#}¦	<L>79164<pc>4-255-c<k1>Bas<k2>1. Bas
YES {#miG#}¦ = {#miha#} in {#nime/GamAna#}	<L>86753<pc>5-077-a<k1>miG<k2>miG
YES <hom>1.</hom> {#muc#}¦ Präsensstämme: {#muca/#}, {#muNca/#}, {#ma/cya#} (<ab>Med.</ab>), {#mumuc#} ({#mumoc#}) und {#mumoca#}; <ab>Act.</ab> <ab>Med.</ab>	<L>87422<pc>5-086-b<k1>muc<k2>1. muc
YES <hom>1.</hom> {#mur#}¦ <ab>s. u.</ab> <hom>2.</hom> {#mar#}.	<L>87636<pc>5-091-a<k1>mur<k2>1. mur
YES {#mfR#}¦ (hervorgegangen aus 2.) {#mar#} {#mfRa/ti#}	<L>88296<pc>5-100-a<k1>mfR<k2>mfR
YES {#meG#}¦ <ab>s.</ab> {#miG#}.	<L>88578<pc>5-103-c<k1>meG<k2>meG
YES {#meT#}¦ <ab>s.</ab> {#miT#}.	<L>88727<pc>5-105-b<k1>meT<k2>meT
YES {#med#}¦ <ab>s.</ab> <hom>1.</hom> und <hom>2.</hom> {#mid#}.	<L>88732<pc>5-105-b<k1>med<k2>med
YES {#meD#}¦ <ab>s.</ab> {#miD#}.	<L>88769<pc>5-105-c<k1>meD<k2>meD
YES <hom>1.</hom> {#yAs#}¦ = {#yas#} {#avayAsisIzWAs#} <ls>KĀṬH. 34,19</ls> (<ls>VS. 21,3</ls>).	<L>90970<pc>5-141-c<k1>yAs<k2>1. yAs
YES {#rac#}¦ {%verfertigen%}. Nur {#racizyati#} <ls>HARIV. 6373</ls> mit der <ab>v. l.</ab> {#karizyati#}. <ab>Caus.</ab> {#racayati#}	<L>92049<pc>5-160-a<k1>rac<k2>rac
YES {#raR#}¦ <ab>s.</ab> {#ran#}.	<L>92176<pc>5-162-b<k1>raR<k2>raR
YES <hom>1.</hom> {#ran#}¦ (= {#ram#}), {#ra/Rati#} (ausnahmsweise auch <ab>Med.</ab>) und {#raRyati#}	<L>92678<pc>5-168-b<k1>ran<k2>1. ran
YES {#raP#}¦	<L>92710<pc>5-169-a<k1>raP<k2>raP
YES <hom>2.</hom> {#rAs#}¦ Aoriststamm zu <hom>1.</hom> {#rA#}.	<L>94128<pc>5-188-c<k1>rAs<k2>2. rAs
YES {#riK#}¦	<L>94198<pc>5-189-c<k1>riK<k2>riK
YES <hom>1.</hom> {#rip#}¦ (= {#lip#})	<L>94216<pc>5-190-b<k1>rip<k2>1. rip
YES {#rih#}¦	<L>94271<pc>5-191-a<k1>rih<k2>rih
YES <hom>1.</hom> {#ruz#}¦	<L>94605<pc>5-197-b<k1>ruz<k2>1. ruz
YES {#rUz#}¦	<L>94736<pc>5-201-b<k1>rUz<k2>rUz
YES {#lam#}¦ (nur {#lalAma#}) {%sich ergötzen%} (geschlechtlich).	<L>95757<pc>5-218-a<k1>lam<k2>lam
YES <hom>1.</hom> {#luk#}¦ (nur {#lukizyati#} und {#lukita#}) {%zusammentreffen mit%} ({#samam#}, {#saha#}). Eine zur Erklärung von {#lukeSvara#} erfundene Wurzel.	<L>96339<pc>5-229-a<k1>luk<k2>1. luk
YES <hom>1.</hom> {#luW#}¦	<L>96351<pc>5-229-b<k1>luW<k2>1. luW
YES <hom>1.</hom> {#lup#}¦	<L>96376<pc>5-230-a<k1>lup<k2>1. lup
YES <hom>1.</hom> {#vak#}¦ in {#vivakmi#} vedisch von {#vac#}.	<L>97179<pc>6-002-b<k1>vak<k2>1. vak
YES <hom>2.</hom> {#vak#}¦ {%rollen, volvi%}. Nur {#vAvakre#} <ls>ṚV.</ls>	<L>97180<pc>6-002-b<k1>vak<k2>2. vak
YES {#vaD#}¦ (vom Präsensstamm nur je einmal {#vaDati#}, {#vaDa#} (<ab>Conj.</ab>), [Page6-012-c] {#vaDeyam#} und {#vaDet#}; <ab>Aor.</ab> {#avaDIt#}, <ab>Prec.</ab> {#vaDyAsam#}, <ab>Fut.</ab> {#vaDizyati#}, <ab>Pass.</ab> {#vaDyate#} und metrisch {#vaDyati#}) {%schlagen%} (<ab>eig.</ab> auch den Feind, ein Heer), {%zerschlagen, erschlagen, tödten, zu Nichte machen%}. {#vaDyamAna#} auch fehlerhaft für {#bADyamAna#} und {#vaDyante#} für {#viDyante#}. {#baD#} bisweilen auch in vedischen Texten.	<L>97822<pc>6-012-b<k1>vaD<k2>vaD
YES <hom>1.</hom> {#van#}¦ (Präsensstämme; {#va/na#}, {#vana/#}, {#vanu#}, {#vano/#}) <ab>Act.</ab> [Page6-013-c] <ab>Med.</ab> <ab>Partic.</ab> {#vanita#} und {#°vAta#}	<L>97889<pc>6-013-b<k1>van<k2>1. van
YES <hom>2.</hom> {#vam#}¦ <ab>1.</ab> <ab>Sg.</ab> <ab>Imperf.</ab> von <hom>1.</hom> {#var#}. Nach <ls>BENFEY.</ls> (<ls>Gött. Nachr. 1880, No. 5</ls>) aus {#vram#} entstanden.	<L>98270<pc>6-019-a<k1>vam<k2>2. vam
