pwbib_input_abbrev	pwbib_input_id	match_how	jachertz_head	editions	io_shelfmarks	gild_shelfmarks
ANUPADA	X259	prefix	Anupadasu1tra	Ohne weiteres im PW.		
ANUPADAS.	X166	prefix	Anupadasu1tra	Ohne weiteres im PW.		
AV. ANUKR.	X193	xref	Atharvaveda	Ed. R. Roth und D. Whitney, Berlin, 1855.  PW, pw Mit Anukraman2ika1 (10 Pat2ala)	213	
AV. PRĀT.	X134	xref	Atharvaveda	Ed. R. Roth und D. Whitney, Berlin, 1855.  PW, pw Mit Anukraman2ika1 (10 Pat2ala)	213	
BAUDHĀYANA	2003a	exact	Baudha1yana	Eine Schule zum schwarzen Yajurveda. Nach Zitaten in anderen Werken und		
BHAR.	X038	xref	Bharata	Ein Autor über Schauspielkunst. Handschrift? PW		
BHARATA	X104	exact	Bharata	Ein Autor über Schauspielkunst. Handschrift? PW		
BHĀG.	X109	xref	Bhagavadgi1ta1	Ed. A. Schlegel, Bonn, 1846.  PW, pw		116
BRĀHMAṆ.	X125	prefix	Bra1hma1n2d2a Pura1n2a	Ohne weiteres im PW		
BṚHASPATI	X081	exact	Br2haspati	Verfasser eines Gesetzbuches nach Anführungen im Mita1ks2ara und		
CAKRADATTA	X284	exact	Cakradatta	Ein Kommentator von Caraka und Sus4ruta. Handschrift. pw		
DAMAYANTĪK.	X001	prefix	Damayanti1katha1	Handschrift. pw		
DAŚAK. (1883)	2014a	prefix	Das4akuma1racarita	1. Ed. H. H. Wilson, Berlin, 1846.  PW | 2. Ed. M. R. Kale, Bombay, 1925. (?)  pw | 3. Ed. G. Bühler, Bombay, 1887. 1891.  pw	692,691	236
DAŚAK. (1925)	2014	prefix	Das4akuma1racarita	1. Ed. H. H. Wilson, Berlin, 1846.  PW | 2. Ed. M. R. Kale, Bombay, 1925. (?)  pw | 3. Ed. G. Bühler, Bombay, 1887. 1891.  pw	692,691	236
